,Year,"GDP, PPP",Renewables (% Equivalent Primary Energy),Low-Carbon Energy Per Capita (kWh),Agriculture,Waste,Industry,Manufacturing and Construction,Transport,Electricity and Heat,Buildings,Fugitive Emissions,Other Fuel Combustion,Aviation and Shipping,Annual CO2 Emissions,Mean Carbon Monoxide Level (8h),Mean Nitrogen Monoxide Level (24h),Mean Ozone Level (8h),Mean PM2.5 Level (24h),Mean Sulphur Dioxide Level (24h)
3,2005,286341693440,0.27761883,350.9572,79999.99821186066,1789999.961853027,10130000.114440918,5190000.057220459,5730000.019073486,25680000.30517578,370000.0047683716,560000.0023841858,150000.00596046448,93919998.16894533,40322320.0,2.4,25,159,21,14
4,2006,312127160320,0.25025177,337.0839,90000.00357627869,1940000.057220459,10109999.656677246,5440000.057220459,5949999.809265137,25540000.915527344,469999.9988079071,579999.9833106995,0.0,104089996.33789062,46470510.0,2.6,24,136,23,11
5,2007,340287684608,0.2428374,337.89682,70000.00029802322,2089999.9141693115,10100000.381469728,5739999.771118164,6150000.095367432,26049999.237060547,579999.9833106995,600000.0238418579,0.0,114660003.66210938,47184990.0,1.7,22,206,19,12
6,2008,346645102592,0.24099082,343.83167,59999.99865889549,2240000.009536743,10079999.923706057,5960000.038146973,6269999.980926514,25840000.15258789,589999.9737739563,629999.9952316284,0.0,125650001.5258789,59990670.0,1.6,22,183,16,11
7,2009,347064467456,0.22723757,336.6787,39999.99910593033,2390000.104904175,10060000.4196167,8590000.15258789,6860000.133514404,23000000.0,620000.0047683716,649999.9761581421,0.0,129850006.10351562,43128944.0,1.9,22,105,19,9
8,2010,397477806080,0.23598696,364.6467,19999.999552965164,2539999.961853028,10050000.190734863,9779999.732971191,6940000.057220459,25319999.69482422,639999.9856948853,670000.0166893005,0.0,145839996.33789062,55066256.0,2.4,23,139,17,11
9,2011,422669451264,0.23450488,368.34766,39999.99910593033,2630000.114440918,10579999.923706057,10319999.69482422,7409999.847412109,26690000.534057617,620000.0047683716,720000.0286102295,0.0,154419998.1689453,31206288.0,2.0,25,123,17,10
10,2012,441527304192,0.24628179,381.30426,39999.99910593033,2720000.028610229,11119999.885559082,10220000.267028809,7170000.076293945,25950000.762939453,620000.0047683716,769999.9809265137,0.0,154979995.72753906,48328160.0,1.9,25,122,19,13
11,2013,462885289984,0.26858902,417.4834,39999.99910593033,2809999.942779541,11659999.84741211,11729999.542236328,6659999.847412109,25139999.38964844,639999.9856948853,829999.9833106995,0.0,155889999.38964844,50881970.0,5.5,25,139,20,14
12,2014,481113735168,0.2785132,438.08725,19999.999552965164,2900000.095367432,12199999.809265137,12619999.885559082,6889999.866485596,24559999.465942383,600000.0238418579,879999.9952316284,0.0,155199996.9482422,52252304.0,1.8,24,135,18,12
13,2015,495491907584,0.29237184,482.16104,19999.999552965164,2990000.009536743,12729999.542236328,12819999.69482422,7380000.114440918,24889999.38964844,610000.0143051147,930000.0071525574,0.0,164339996.33789062,56465904.0,3.3,22,152,24,12
14,2016,511987023872,0.289138,489.41788,19999.999552965164,3059999.942779541,13359999.656677246,13010000.228881836,7340000.152587891,25420000.076293945,610000.0143051147,959999.978542328,9999.999776482582,176559997.55859375,35654384.0,2.2,26,115,15,13
15,2017,535130767360,0.28081223,485.7857,19999.999552965164,3140000.104904175,13989999.771118164,15439999.5803833,7239999.771118164,26149999.618530277,589999.9737739563,980000.0190734864,9999.999776482582,184369995.1171875,37156624.0,1.7,25,191,14,12
16,2018,553846833152,0.2784224,480.1132,19999.999552965164,3220000.028610229,14619999.885559082,13939999.5803833,7079999.923706055,26049999.237060547,589999.9737739563,1000000.0,9999.999776482582,183039993.2861328,46019840.0,2.0,26,150,15,9
17,2019,561297227776,0.2995429,501.15323,19999.999552965164,3299999.952316284,15239999.771118164,13960000.038146973,6960000.038146973,26139999.38964844,569999.9928474426,1029999.9713897704,9999.999776482582,176649993.89648438,29916560.0,1.7,23,125,16,8
